label,text
neutral,"Every time I play a Patapon game and hear the ""Ushishi Theme"", I think of a beatboxing monkey. ""YO YO YO GET UPPA!!!"""
hate,"@Misplaced_Momma 
She be what we say in da hood white trash"
neutral,Foto: mimiblargh: ok pls consider this: kingdom birbs (can u guess who is who and what birds they are???... http://t.co/NWjUmmEWNJ
neutral,@blackrepublican how long after the name change will al memorabilia w/redskins name be deemed racist and therby illegal?
neutral,Surrender of Divinity - Conquerors of the Apocalypse: http://t.co/9Qv5RsY1p3 via @youtube &gt;Oriental Black Metal Hell!!
hate,"RINO trash like @SpeakerBoehner, @KarlRove, @FrankLuntz see conservatives as the Democrat Party see blacks. As their slave property. #tcot"
neutral,*waits for Fanduel to hit me with the jig*
offensive,How do you bloke someone on insta?? Dumb bitch scares me
neutral,@daishialopez how could you say such a thing woman?! You have two functioning chest tables to hold your peanut butter and crackers!
neutral,"So I've been pretty paranoid about the cooling weather bringing about an abundance of birds in Austin, NYC and Philadelphia."
hate,Good Mernin faggots http://t.co/3ZPTPqFkTl
offensive,RT @relatabowl: bad bitches http://t.co/jz9ItvJck0
neutral,RT @davidcomanhidy: It is well known that @centerplate supports cruelty to birds. #saveanimals-sign this petition: http://t.co/t07KZ5myEv h&#8230;
hate,Told my dad to go buy cookies for the graduation reception...this nigga bought Oreos.
hate,None of us went to these PRESTIGIOUS establishments so we're clearly not as superior as these fucking retards...
offensive,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch"
neutral,Should #Oscar go to @AndySerkis or #Computer that turned him into an ape? http://t.co/oWgoCjxpXs NO...The #ComputerScience major #Movie
hate,"@midgetmadz shut your dirty dirt trap you limp knees, ashy footed, blue balls, isolated hamster wheel, no nipples bitch"
hate,@luvvida You're right.. I be around my nig....
hate,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an"
offensive,"RT @CountOn24: bitch you love every team but the US lol RT""@rihanna: This is the game I've been waiting for! I sincerely LOVE both of these&#8230;"
offensive,RT @CrownHer: Takes a ho bath RT @1stZodiacSign: He's terrified of water. How TF does he wash himself everyday? lol.
neutral,cookies and crackers aren't even on the same level!
neutral,Beautiful Fairy Elegant Dress http://t.co/ouxWbYTUt6
hate,And I wanna say something SOOOOOO bad to these two cunts on Twitter eh..
hate,@sassyharryballs ugly white bitch
neutral,RT @VersaceAmeezy: Austin is so cute like look at him all excited because he got Oreos http://t.co/0mK1W8Reak
offensive,"I'm pissed off bitches on my dick but shit my dick soft
CAUSE THE WAY YOU CARRY YOURSELF GOT ME TICKED OFF I ain't tryin to be Rick Ross..."
offensive,@VG3_ what pissed me off is as males WE JUDGE females pussy. How you gone judge your own get mad and deny its loose because YOU have a gap?
hate,Members of non-traditional religions are all sub-human trash.
neutral,Egypt? R the muzzie Bros still running things? .@PeterClifford1: @TurtleWoman777 Only a tad better. Certainly no respectors of Dem though
neutral,Kentucky Fried cater to da white folk. No colored menu
offensive,"RT @Griff_TheGreat: Drake said it best when he said ""Niggas act more like bitches these days!"""
neutral,"RT @usmntHistory: On this #USMNT day 2014, the Yanks advanced out of the #GroupOfDeath despite a 0-1 loss to #GER."
offensive,@FRANKTHEFOB ok u hav gun. I love you and you are my superior at fighting games and you probably get more bitches too. peace &#9996;
neutral,@DannyMndz93 @Titan21Mtzzz he's still a pogue though
offensive,Arturo keeps calling me ghetto &#128532;
offensive,"RT @CauseWereGuys: Call a girl a ""bitch"" and she'll get offended but if u put ""bad"" in front she'll swear she's a queen"
offensive,Modern day singers talk about the same shit rappers talk about lol....hoes
offensive,Before the madness with my single bitches. &#128527; http://t.co/FLDe7S4SLC
offensive,RT @SashaNexx: I found a mega-carrot at the store today! 50 retweets and I'll shove it up my pussy (; +pics!!! http://t.co/LyMLqUClwJ
hate,"Peace fags, just remember I'm best Lux support NA. Drop LustBoy pick me and Kakao up TSM."
neutral,"""@worldtraveIs: Baby albino &#128034; http://t.co/2tYTQJ3fec"" @Meeeesh1395"
offensive,RT @Antonio10_C: Yo mother(dedication hoe) - rich homie Tono feat. Childish Miguelito &amp; young patty.....coming soon #sorry4thewait
hate,Can #faggots of #HoneyBooBoo imagine this #internet world was created to trap them and feed them to #Allah like gazelles? #IT #StephenKing
neutral,dont make direct eye contact with anything..birds cats nothing lol RT @EVBY_HATES_ASH: I'm going out west to bu (...) http://t.co/oVpwk9I3
offensive,When a real niggah want you
hate,guy complains to me: #gays are over-sensitive... my response: and look at you complaining like little pussy. waahh waahh #hypocrite
neutral,"RT @alicia_garcia3: ""That's why God made brownies. To replace boys."""
neutral,RT @NFL_Memes: Buckwheat and Porky http://t.co/bo96nelS2P
offensive,RT @prettykells: &#8220;@100046729: @Leelucas_ bitch you not coming http://t.co/GXpfoLusXB&#8221;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;
hate,Im soooooo tired of this dick dyke showing up on my fb feed. Real studs dont fucc niggas. Just be bisexual.
hate,@Brizgotti These new nigga hipster hypebeasts love all these faggot ass bright colors and Nike keeps giving them what they want smh
neutral,@Ilovebamf Whats it say... I see bird in it... Lmao
neutral,"If you've ever been to drunk to fish, you might be a redneck"
offensive,Lmaoooo RT @Hand2DaHairline: His sister probably got the pussy that night RT @No_Cut_Card: #NeverForget http://t.co/HkXEbFWDYz&#8221;
neutral,Best rider? That goes to a blaxican.
hate,@maliktender gayer then 2 faggots in bed together&#128129;
neutral,Brownies brownies brownies
hate,"@realDonaldTrump he looks like reg. Memphis,tn. trash! we got them everywhere."
hate,"Just watched the scene in zero dark thirty where they pop Osama's bitch ass 
#U #S #A"
hate,Smh hate that hoe
neutral,"@BeeKayNS alas, I am proficient in neither. my skills are limited to pointless stat memorization + trash talk."
hate,@Nien_Nunb what did you search? Gay redneck episode 1 play?
offensive,The hoes aint classy no more more like trashyyy!
hate,"@jennybaquing so terms like honkey, cracker, peckerwood and stereotypes of white people fucking their kids and sisters isn't racist? sweet!"
hate,@Oskzilla fuck you niggah you gay. Lol
offensive,RT @xBrandi_: Only real bitches suck dick
hate,"RT @KillAllSimps: Miley Cyrus pussy probably taste like wet dog, she has a negative ass, and the bitch looks like Justin Bieber, she so ove&#8230;"
offensive,"RT @KaliKushDoll_: Lol foreal yo RT""@Damiah_daddyx3: Lmao, I fucks with @HaveMercyyy &amp; @KaliKushDoll_ real talk, them bitches know h ..."
neutral,"if ice jj fish gets all these looks , who really trash me or him"
neutral,@louisck a video i made -- Porn Actress Sexy Capri Anderson Kissing Video with Charlie Sheen http://t.co/VTH4r762 via @youtube
offensive,"RT @WElGHTROOM: Rows for the hoes

Curls for the girls

Planks for the skanks 

Deep cuts for the sluts

Quads for the broads

No pecs No s&#8230;"
neutral,I think I'll have salad bar for lunch today. Gotta make up for the birthday brownies somehow... #LastHurrahThenDietStarts
neutral,RT @virleehol: @cbinflux Well we sure as heck know how to read. I'm reading the trash right now and almost everything I've heard on the web&#8230;
hate,"RT @ASAP_Ford: I hate when a nigga ask me ""Where the hoes?"" .... Nigga idfk !"
offensive,@Nautiwashere these bitches drippin sauce
hate,@tori_mills02 I believe that you fuckin can punk nigga bitch&#128520;&#128170;
hate,Mayweather is a pussy hes only winning cus he picks his fight and he picks the nobody fighters . #fightPacquiao @FloydMayweather
offensive,This bitch takes bitch to another level
offensive,"Just smile, bitches love smiling :D"
offensive,The way Hawk Girl did Green Lantern is why I do not trust these hoes nope
hate,"Subtweet me one more time, you dirty chink whore"
hate,God I would sell both my nuts to watch LeBron tear his ACL right now and watch all those pussies kill themselves
offensive,It stink in this bitch it must be them pussy ass niggas talkin shit
offensive,Just called a 6'5 basketball player out for the fade on twitter cuz dat pussy nigguh live in Georgia. Come get me bitch
offensive,sup bitches
hate,"""poor whitey"" http://t.co/3UkKeyznz8"
neutral,"RT @metroadlib: i thank every broad in the universe who takes that step forward &amp;puts colored contacts in her eyes.
that's one less person &#8230;"
offensive,@Buckm00se post the bid where you tell that nig to use the jab
hate,"RT @Tiqqz: @ShinSnipes i woke up with a sore throat, im cold, niggers will be niggers. so terrible"
hate,@EleyCome_EleyGo @caykelly16 movies don't matter as long as you do coon shit with coons you're a nigga!
hate,"@AmericanWhiteHM Those niggers disgust me. They should have dealt with 100 years ago, we wouldn't be having these problems now."
offensive,&#8220;@daijahshardaee: &#128514;&#128514; @100046729 bitches so late &#128564;&#128129;&#8221; ion exposed &#128514;&#128564;
offensive,Got all the black bitches mad cuz my main bitch vanilla
hate,If yer gonna continue to be a contrarian bitch... go die then. I've no time for such trifling!
neutral,Selling ex lax brownies in front of Meijer to pregnant women. #GoodDeed
hate,RT @uncledaddy69: @weakenednachos California's biggest retards. Don't forget about HOLY who just released an amazing EP.
neutral,How is Angry Birds the movie going to work? They're just floating bird heads?
neutral,@whits_20 @AjalaPilgrim Yankee? &#128530;
neutral,I'll be a Yankee fan forever
offensive,RT @JonahAir23: money over the best pussy
offensive,&#128557;&#128557;&#128557; RT @tryna_be_famous: Brees been trash since this.... http://t.co/EvYSf5JFkt
neutral,#uppers loving the show this morning. Chris is directing the conversation beautifully. Make the teabaggers talk!
hate,People who live in #theNetherlands are unwashed trash.
neutral,@DHSJournal I run CP in our community. Local cops treat ppl like trash for that. I hate it. Makes ppl think its a waste
neutral,"RT @_wintergirl93: I don't wanna hear Sgt. #Tahmooressi's name come outta the Preezy's mouth. He couldn't be bothered then, keep his pie ho&#8230;"
neutral,Sixten just shoved like 8 Oreos down his throat
hate,@pombuenaa I'm surprised you could read it with slits for eyes
neutral,RT @Royals: #Royals win!! KC with a 2-0 blanking of the Yankees to take the series in the Bronx! #BeRoyalKC
neutral,"&#8220;@wizkhalifa: On the east coast there's colored hair everywhere. 

This must be the sweetest wave ever.&#8221; @LayaFace"
neutral,RT @LifeAsKing: New Orleans is still trash
offensive,RT @KCamp427: Bring her round these slums..... Yo hoe will get slayed....
neutral,"RT @RapBars_: Joey Badass said ""Traded in my Nikes for a new mic, I guess it's safe to say he sold his soles for a new life"""
neutral,RT @ChrisPalmerNBA: Udonis talking some big trash to Lance. LeBron holds him back.
offensive,RT @DonDelarente: I think if Biggie saw Kandi Burress today he would change his mind about not fuxing one of those ugly as Xscape bitches
neutral,Lmao RT @iPOSTBADTWEETS: Lowkey Peyton Manning trash
offensive,@MichaelSafady only if you're a twat as well. Be not a twat my son.
neutral,RT @ShelleT1986: Great start the morning! My daughter danced herself into the coffee table and gave herself a nice shiner... Yea she's a wh&#8230;
hate,bitches be like i'm mixed wit Italian Chinese nd African American I be like bitch just cuz you ate ur&#8230; http://t.co/ZdWd3l8M
offensive,"Tarantulas are dope but the spiders that are small n can kill you.. Fuck dat RT @BkRaised718: Spiders arent scary, sheesh y&#8217;all some pussies"
offensive,then yall tweet about not trusting hoes like that shit ain't common sense already
hate,"&#128514;&#128514;&#128514; i just said that RT @BoyThats_ARYAH: My TL gotta chill with this pretty face challenge foolishness, y'all hoes agg"
offensive,"@KenSuttling Mr.Cox,the Chase me Charlie of his day.Bend over boy,while I conjugate your A**e"
hate,RT @sheemteam97: Fuck the Islamic State!! We will kill those cunts&#127468;&#127463;
neutral,RT @FallonTonight: Jimmy and @BillyJoel's two-man doo-wop performance just went live on YouTube! https://t.co/NGzhImyvSF #FallonTonight htt&#8230;
hate,@joshgnf @brana_nv @define808 @ironbjk @mrjstn oh shut up faggot get a disease overused on twitter
offensive,Damn...payback is a bitch
hate,"Fat ass inbred rednecks like Paula Deen are breed that are going extinct. I mean look at that woman, I would hate to be her scale."
neutral,The Yankees still suck! @nikaaaa3
neutral,"RT @49ers: Oregon State WR @brandincooks is a popular #49ers pick in recent mock drafts. 

DRAFT TRACKER: http://t.co/AEueKmhkQX http://t.c&#8230;"
neutral,RT @LadyMercia: Mother of Manchester 'terror twins' who went to Syria to become Jihadi brides snatched by ISIS ... http://t.co/trhNMdVnCM v&#8230;
offensive,"BRUH lmaoo &#8220;@NoBeeetch: Them hoes was nasty but I kept eating them ""@roblockk: What the fuck happened to these? http://t.co/G9w10SmQdr""&#8221;"
hate,ion speak on how flaw niggas and thirsty hoes be on I.g but boyyyyyy look at here &#128586;&#128586;
hate,I really get upset when my lightskin friends have another cute dark skin sidekick..like Im supposed to be the only cute darkie u hang wit &#128545;
neutral,PND is my jigga man.
hate,RT @NerdAtCoolTable: RT @RealSheemBacc: For every bad bitch there is a nigga who treats them like shit &amp; yet they stay..... I wanna ...
hate,I like taking niggas hoes but I stop doing that &#9995;
hate,@hunterbuch66 @kieffer_jason @sbsylvester yo fat ugly ass couldn't even pull the ugly bitch in the school
offensive,@PERRO5070 bitch tits
hate,@prettygrl_rocky ugly dyke
hate,This week's RFN segment is in the can. I discuss Idaho being a faggot marriage state just like Washington.
hate,"I wasn't calling you a faggot, but you are one lol."
neutral,"Maybe @barackobama is colored blind with his 'red lines' and all. Tough talk, no walk. #tcot"
offensive,bunch of pussies
neutral,RT @BenTateRB: This is crazy no RB picked yet. A RB won ROY! 2yrs ago RB was MVP. Ppl 4get how important our position is. This is insane ho&#8230;
neutral,@MidwestXPride have her learn the first 30 seconds of Flesh and the Power it Holds- Death. That riff would be cool for a bird to do lol
neutral,Lmaooo naw man RT @DipOnline Yo want in RT @HumbltonBanks: U serious bro?? lol RT @CheezMoeJenkinz 2-3:10am early bird special
neutral,WTF I'mma do about my legs Charlie Murphy...
offensive,"RT @mckinley719: ""@wizkhalifa: Pretty bitches rep Taylor Gang"" #Hollah lmfaoo"
neutral,"People, RT this picture far and wide, if for no other reason than it makes teabaggers with poor spelling really angry http://t.co/gygRzYCIjq"
hate,@Brenddan_ they said some bullshit. Damn niggers
offensive,"Suzan are you really going to make me get off this sofa to find some damn silverware, by golly you old bitch."
neutral,RT @alexlundry: Charlie Baker!!!
neutral,Cleveland is the best team for manziel honestly the OC can use the offense he had with the redskins &amp; the browns D is nice wit a def HC
neutral,@Titan4Ever2488 some Mets fan tried telling me Rivera isn't of the best Yankees of all time because he is just a closer. WTF
offensive,darf retarded lol
neutral,RT @SullivanMcPig: If those Captcha pictures get any more fuzzy I'm going to need a bot to decipher them
offensive,"You know what, all you are doing is being a burden to me. A fuckin annoyance and I hate bitches like you"
offensive,"Got my own place , pay my own bills &amp; rent &amp; 2 jobs. Tf am I worried about a next bitch for?"
neutral,This bro is just rippin apart a bird about 10 feet from us.. #redtail #hawk http://t.co/tjAnr2pB
offensive,"RT @dallywaggz12: I may be a bitch, but least I keep it real."
neutral,@RudyJay711 Asains had to take the Wu Tang Clan; the draft was suppose to be for half breed like me and @MikeTaylorShow #FallingInTheDraft
hate,@phreshagu_25 yeah you right and you know them Mexicans bringing all they family that hoe finna be packed
neutral,@PowlengMawi yung nakalagay sa second page ng handout na may closed ended questions etc. Tapos lalagay sa 1/2 yellow pad
hate,@AtBlackface @MrMooncricket @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ape? Fuck u broke ass racist
hate,RT @SalamanCode: Proof that thots are retarded. http://t.co/rHJSlL9i9f
offensive,I give my niggas hope and sell these bitches dreams!
offensive,"&#8220;@SukaSuiti: ""@uce_INA: Nawwww If you a hoe you sittin on the floor and not my damn couuuuuch&#128131;"" but your birthday is in Feb or naa?&#8221; Nope"
offensive,@ianbmaggard @kade_melton im going to miss that big nig
hate,@kieffer_jason bitch was i talking to u stfu and get off my page oh bitch nigga u bout that life
neutral,"Whipped cream &#9829;,&#9829; #endlesslove"
hate,RT @NYTMinusContext: kill whitey
neutral,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha"
hate,@Oskzilla fuck you fag!
offensive,It be 30 below zero and hoes still go out like its 90 degrees plus tax
neutral,RT @whisperdispatch: Charlie wearing the 'Don't Tread On Me' flag pin? Every Dem should show up in Congress in 2015 wearing that @ESQPoliti&#8230;
neutral,@DevilGrimz ironic that he's a trashcan because he holds trash everytime you two cuddle! Burn.
neutral,RT @5SOS: It's the best thing ever driving past crowds of people at shows and seeing bandannas coloured hair 5sos shirts that you've made o&#8230;
hate,@WhosJuly 1) He's a faggot and I don't like him. 2) I'm on the other side of the state.
neutral,"#HolySpirit Joshua 1:3 Every place that the sole of your foot shall tread upon, that have I given unto you, as I said unto Moses."
hate,"@t5_harris Are you working on route running and catching. You'll be a good WR for Grier. Have fun with the white trash, racist UF fans. #FSU"
hate,RT @MANIAC3X: @NotoriousBM95 @Woody_AFC @_WhitePonyJr_ @santi_4l @Bamoose12 start crying and stalking him faggot. I want to laff
neutral,#PacerNation 4/4 on the road! Perfect way to continue after #iubb have finished #NBA #Pacers #indiana #hoosiers
offensive,Holy sheep shit I haven't been on instagram in a coons age Im seeing pictures from like 20 weeks ago haha
neutral,"First ""#tbt"" best and drunkest Yankees game ever #wheresColman #everclear http://t.co/pKnLCylu"
neutral,@BNightengale @FeinsandNYDN Time for Ranger scouts to head out and watch some Yankee prospects. #rangers
neutral,Just saw a crow gallop across the road. #mmkay #wut &#128514;
hate,"@teenagesleuth .we got 1, except eric holder gave them 2 the beaners 2 kill americans! guess he is race blind!"
hate,@bellaangeletti ur a fag
hate,"RT @wisdom_spewed: No, you stupid redneck, ""Animal Husbandry"" does NOT mean you can get hitched to your blue tick hound, Misty."
neutral,I am extremely sad to have to admit that some of the best 21st century Arabic rhymes have been written by Jihadis
neutral,"""@RachieSoul: @DizzleOfficial inna di ghetto!!!"" You alone lmaoo"
hate,"Somebody please choke that fucking retard that keeps yelling ""mashed potatoes"". What a tool! #PGAChampionship"
hate,RT @KoolQueef: I color my entire arm black with a sharpie and fist my wife's asshole just so she knows what a nigger dick feels like.
neutral,@Johnny3_ @HPGuilty trash ain't it
offensive,"&#8220;@yohidef: cool story bitch, now pass the blunt&#8221; @EvanBecker513 bitch"
hate,"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes"""
hate,"Gave her that ""move it lil nigger"" push smh.. http://t.co/EKdSI8pQdD"
offensive,@kieffer_jason wtf u think u ole pussy ass nigga
neutral,i was pulling for the #redskins in that one
hate,&#8220;@alicia_688: You aint special niglet RT @Vice504fly: When I'm chilling wit Greg ppl walk up to me to ask me to take pics&#8221;hatin
hate,"He ain't shit girl, &#128175;he a bitch made nigga !"
neutral,@tayscalf must have run out of brownies
hate,Bitches be having a nigga but want to be another nigga WCW bitch it don't work like that
offensive,@SeQuoia_Gabris yeah hoe!
offensive,I'm a stretch that pussy out
offensive,oh.... Trash you say... This trash gonna keep driving thru ky.. &#8220;@corey_emanuel: @LifeAsKing she's trash. Just gotta ignore her.&#8221;
hate,@_Nadiaxo fags
neutral,@ThatChrisEckert Gobble de gook
neutral,Ciara not a ghetto name.. Well kinda but it&#8217;s not &#8220;ASHANTI&#8221;
hate,"Dear Utah Polynesians: Again, stop acting black and speaking ghetto. Speak FOB, you ain't no ghetto niggaz."
hate,You can't owe me shit ion trust niccas
hate,@michaeldbirch What else do you expect from that nigger lover?
offensive,I'll be stripping off layers of clothes the instant we get back to the gate. It's hot as Satan's pussy on this son-bitch
hate,@Gutierrez_Alf legit retard
hate,"RT @Cuzimdaddy_: !!! @5feet_0inches is dis wrong??? ""@_100d: If you fuck wit a lame nigga you a lame bitch"""
neutral,&#8220;@KarynHalpin: Where do all the foreskins go when they circumcise a guy?&#8221; the Foreskin Fairy takes them after you put them under your pillow
hate,"RT @AnthonyBialy: Well, Maryland is just a bunch of hateful rednecks, anyway."
neutral,1996 and 1999 World Series Rematch: #Yankees #Braves
neutral,@josephljenkins Have heard some hillbilly grumblings that bugs worse in recent years because of MIC shutdown.
hate,The #south of the US is white trash.
neutral,@megann_17 you should make me brownies!
offensive,RT @AyyyeThatsChubb: Mama said no pussy cats inside my dog house
offensive,Will you sell that pussy for me ?
neutral,Shylock &amp; Wongs: 3 Incidents of Democrat Bigotry In 3 Weeks - Media Mum http://t.co/rX8ynPg1Yd via @BreitbartNews
hate,RT @_missvain: Lmfaooooo &gt;RT @sirTurn3r: Lmaoo Thats what u got from this? RT @waddupivy: Dougie be yamming the coon all that beat boxing &#128553;
offensive,"Jameis Winston got benched for standing on a table and saying ""Fuck her right in her pussy"".

The irony is so deep you can use a shovel."
neutral,RT @monogrammedprep: God is a Yankees fan. #FarewellCaptain
neutral,@Midnight_Snacka @Nick_504_ u look like that fat kid on Charlie walker the that got stuck it the chocolate tube.
offensive,"You can call me a bitch, OK! But a the thief get out of here. Smdh"
neutral,"RT @skullmandible: Now Call Down Your Dark and Your Cold and Be Damned, Charlie Brown"
hate,@StarIsTheFuture you call @GOPBlackChick house nigger and she's the racist? Fathom the hypocrisy in that statement.
neutral,"RT @Mobute: Rick Scott vs. Charlie Crist is the worst gubernatorial election in America, and it's the face of our ugly future. http://t.co/&#8230;"
offensive,RT @LethalBizzle: Suck yo momma flappy bird!!!!!!
neutral,So I'm at #tedgibson and Ted is getting his hair colored right beside me. Heeeey!
offensive,"' Ima pull up , eat on that pussy and dip &#1041219;&#9996;&#65039; ,"
hate,"RT @SteveStfler: ur a faggot if you change your name to your bday just so you can get bday tweets. this aint FB nigga, fuck yo birthday"
offensive,"@Heather_Poole I go for the most direct flight, then by price. Over and done with layovers. Flying is a bitch enough."
neutral,@shanetallant he won't bite! We promise he's a friendly bird :)
hate,RT @Wayne__Da__Boss: I hate a bitch dat act like a nigga. &#128530;
offensive,I don't talk to niccas I talk to god we can relate
offensive,Said you a mean bitch
neutral,"""@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;"""
offensive,&#8220;@Cinnnthia_: I'm just a bitch for no reason. I think I'm funny sometimes&#8221;
neutral,I grew to hate blonde and primary colored weaves but that wouldn't stop me from requesting some good mouthwork.
neutral,I just saw a man have a actual conversation with his bird haha
neutral,The jigg is up
hate,RT @NRoth44: Wow the stupid nigger in LeBron really came out there
neutral,"RT @BiertempfelTrib: One more from @JimBowdenESPNxm: ""Yankees wouldn't be letting Polanco sit in minor leagues, because they're all about w&#8230;"
hate,@JOLTNG niger
neutral,@SteveWorks4You Stockboy...everyone mocks you.
hate,Ion care fuck that hoe &#9996;&#65039;
offensive,Jus a D nicca n the A!
hate,"If you would have followed George Washington in 1776, it means that you're white trash."
offensive,It's fact that a male brain cannot always hear the high pitched voice of a women.. So bitch don't get mad..I really didn't hear you!!
hate,@PrayForJack new york niggas quick to take off on a bitch in public boy lol!!!!!
hate,"Brady heard yall say he was washed, now he washing the league on you hoe ass niggas."
neutral,RT @ImaPlainJane: @SimplySoulful Uncle Charlie and nem lol
hate,Your pathetic plan failed. Enjoy my phone you fucking monkey. Let me see your ass at Benton park. You wanna talk shit I'll carve your face.
offensive,RT @pandaapussy: The day I have clear skin will be the day I'm the happiest cockiest bitch alive
neutral,@urbasicyabish nigor??
neutral,@Josh_Ward thuggery? Cheating? Talking trash? Who's doing that besides Jameis? And isn't ND in the middle of cheating issues?
neutral,Damn Joe Buck just making it sound like Greinke was trash when he played for the Royals. Chill out Joe.
hate,"Accept your flaws and imperfections because that's what makes you, YOU! See I'm a fuck, small dick faggot with parents who don't love me."
hate,"@DaRealAlexInLA @Woody_AFC @Rodriguez5_ the nig is fun to watch got to admit, ebola boy can speak broken Spanish too lol"
neutral,Wicked Oreo
offensive,RT @NickCoyne001: Guys who tweet shit to get a bunch of favorites are on the same level as hoes
offensive,@SammyLightning_ I roll up to a bitch an dey like http://t.co/ja8t60VgGE
neutral,@asiahh__ nah I replied to you like I did to literally everyone else who called it trash... Go and check if you don't believe me
hate,So niggers really believe Phelps just smokin on a regular huh? Tell me now &amp; I'll log off for the night
neutral,"'Forget to salute,' trash the other guy for the 'bad war' (during Cairo II), sympathize w/ 'Pockistan,' gays hurting morale. Thanks King!"
hate,"@LobstrThinkTank Yeah! Me too. My people, the women, laff at the set apart men... they love the real niggas or niggers."
offensive,@REAL_Kaysavage that bitch was going or nawl
offensive,RT @the_ironsheik: Justin Bieber win Oscar for suck my balls you dead dog midget dick son of a bitch
neutral,Suddenlink is trash. Y'all know how important Bubble Guppies is to our day?
neutral,".@dawnbazely Thank you, Dawn. I see our state bird graces your avatar..."
neutral,"I hope the Yankees get Soriano, shoulda never gave him away for Alex Rodriguez"
hate,Fat ass hoe holding up the machine
neutral,Someone probably told him 6 God was trash.
neutral,"RT @OmarImranTweets: Media be like:

*Muslim whale attacks US Navy*
*Muslim tiger attacks Zookeeper*
*Muslim bird attacks Eiffel Tower*
*Mu&#8230;"
hate,@milfmob @yoPapi_chulo fight me you fucking obese niglet
neutral,"Jindal seemed to be having an out-of-body experience enhanced by special brownies
http://t.co/W0cyEcqKLo
Bj Up and At 'Em
#stribpol #mngop"
neutral,"What an amazing, proud day it was today for @NKOTB and #blockheads! Time for bed! Good knight!"
neutral,@NoHazardNoParty @PiBBzYx @piersmorgan @Jim_McLaren I can't wait for the day they take them be a boon for the entire nation
offensive,@AbusiveMen You're a fucking pussy
offensive,RT @Coolie_GBE300: When the side bitch try to approach you in public. http://t.co/GbbIob1Ots
neutral,Darkies DGAF! RT @Maxin_Betha @80sbaby4life gotta chill wit his yellow #4thofJulyFly outfit man RT @dominicanraf http://t.co/uImF6sDI
neutral,guess I will mess with it later! not sure what else to do! maybe trash it! lol!!! not yet maybe after I when the lottery!
neutral,@DeArionBASEDGOD Kendrick is not better than papoose or drake
offensive,"I fucked your little sister last night
The pussy was right 
The pussy was tight"
neutral,jacob u look like a monkey in dis http://t.co/rkaqn0GRQe
offensive,RT @TurtleMcNasty: Well I'd love to stay and chat but you're a total bitch
neutral,"New show announced in Lutsen, MN at Papa Charlies on January 29, 2011 http://artistdata.com/a/33ck"
neutral,"RT @Dodgers: ""Gracias por jugar con el corazon, ahora a ganarle a los Yankees."" -@TommyLasorda http://t.co/3FYTvuzNZB"
offensive,"RT @liddoprincess: Call it ""insecure"" if u want but fuck no my man doesn't need to be friendly or have bitches as ""friends"" these hoes ain'&#8230;"
hate,@KamRenee ugly nigger
hate,@AndreBerto can't wait for more PEDS is that it? Roid munching faggot
offensive,Only negro to keep adding baby fat as they got older.
hate,&#8220;@MILF_chronicles: Dudes shaving without it being for an athletic purpose is gay af&#8221; you're retarded.
offensive,"@datexehmm So bad bitches intimidate you, in other words?"
neutral,@MikesGraffix @MalachiDupre all that trash talk and we win championships!!! You're boring me dude #NationalChamps
neutral,"&#8220;@Yankees: #Yankees and Red Sox are scoreless as we play in the 2nd inning.&#8221;
THE BAMBINO IS WATCHING!"
offensive,RT @iLikeWGW: retweet for big booty bitches
hate,@Sammytbh whats your youtube channel then faggot
offensive,@carterboy_leake @italian_montana @tyg235 chill your dad gets more bitches at school than you do griff
offensive,Bitzy probably popped a Percocet before she had these drinks with Mellie. She seems like that kind of of trill ol' bitch. #ScandalABC
neutral,RT @DoctoroftheDead: @Jackson_D_Chase @violet_berry_ You realize I&#8217;m going to have to get out all those #horror and other poems I wrote abo&#8230;
neutral,this movie is actually good cuz its so retarded
neutral,&#8220;@BasebaIIVines: Michael Pineda hides pine tar...on his neck http://t.co/PJRKJeaY6h&#8221; fact that the Yankees cheat &#128077;&#128077;&#128077; Go Red Sox!! #Boston
neutral,@sevensixxx_ @oldirtyjesus great reply except it was trash
offensive,RT @lovesexdeath_: @TonyJRodriguez im queer as a three dollar bill and my first response to her coming out was sarcastic 'wow really? never&#8230;
neutral,RT @SaertjeMirror: I am a zebra amongst the sheep.
offensive,@eze12373 I'll come rape your wife bitch boy
offensive,@CRYaboutitNIGGA waddup doe Lil nicca
hate,@PablyAndrew it was Paul McCartney faggot
offensive,RT @CaLvii: @troncat1003 theyre afraid of being a bitch in person
hate,"@jdickerson @ScottPelley @bobschieffer all racist nTx trash w @NorahODonnell all hate to see this particular man in WH n not the ""Butler"""
hate,#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies
